Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,ENGI.PA,GLE.PA,HO.PA,KER.PA,MC.PA,ML.PA,MT.PA,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,WLN.PA
2021-10-01,8.545156478881836,107.74141693115234,108.9308853149414,31.12678337097168,3432.375244140625,50.860355377197266,40.698055267333984,12.587800979614258,166.0178680419922,18.838333129882812,78.118896484375,43.74247741699219,152.2452392578125,8.251646995544434,21.87061882019043,78.02156829833984,557.0706787109375,586.1589965820312,28.319963455200195,27.16765022277832,339.9886169433594,7.097779750823975,49.09617614746094,168.05569458007812,1154.452392578125,28.18685531616211,107.21967315673828,70.40149688720703,50.407066345214844,132.13487243652344,302.73345947265625,32.669193267822266,22.4034481048584,10.100320816040039,65.5199966430664
2021-10-04,8.514787673950195,107.09506225585938,106.20247650146484,31.018810272216797,3399.685791015625,50.84285354614258,40.3125,12.792746543884277,163.13706970214844,18.79493522644043,78.29086303710938,42.95603942871094,151.38861083984375,8.304179191589355,21.692150115966797,77.63605499267578,550.0552368164062,577.8782348632812,28.149364471435547,27.16765022277832,339.9415588378906,7.159732341766357,48.469566345214844,167.96728515625,1149.1412353515625,28.05933380126953,105.32913970947266,70.77647399902344,50.0859489440918,130.39187622070312,300.2285461425781,33.31427001953125,22.614086151123047,10.10496711730957,64.72000122070312
2021-10-05,8.997794151306152,107.40284729003906,107.529296875,30.606534957885742,3321.677490234375,50.55401611328125,42.17353439331055,12.977198600769043,164.3451690673828,19.15789222717285,78.41983795166016,43.376121520996094,153.0836639404297,8.413500785827637,22.63317108154297,77.5259017944336,551.2984619140625,588.4849853515625,28.991710662841797,27.16765022277832,342.1044006347656,7.193385124206543,49.55344009399414,170.08953857421875,1157.349365234375,28.441898345947266,107.0653305053711,71.1258773803711,50.87982940673828,132.70968627929688,304.52264404296875,34.311553955078125,22.96795654296875,10.17000961303711,65.87999725341797
2021-10-06,8.960195541381836,106.21784973144531,105.97820281982422,29.88995933532715,3320.19140625,50.3614616394043,41.669349670410156,13.100166320800781,163.55526733398438,18.739702224731445,76.78608703613281,43.302852630615234,150.44082641601562,8.274362564086914,22.446590423583984,76.22248840332031,547.5686645507812,581.3207397460938,28.05339813232422,27.16765022277832,336.7913818359375,7.132963180541992,48.18165969848633,172.60971069335938,1147.6927490234375,27.33974838256836,106.29369354248047,70.69125366210938,50.37139129638672,130.28062438964844,301.5704650878906,33.84061813354492,22.3865966796875,10.22111701965332,65.79000091552734
2021-10-07,9.249420166015625,107.92608642578125,106.70703125,30.557453155517578,3295.674560546875,50.69405746459961,42.32923889160156,13.063276290893555,166.575439453125,19.102659225463867,78.2736587524414,43.815738677978516,152.22702026367188,8.308438301086426,22.896820068359375,77.06694793701172,565.32958984375,593.5091552734375,28.52255630493164,27.16765022277832,340.3177185058594,7.197208404541016,48.18165969848633,174.64352416992188,1189.6990966796875,27.991018295288086,109.47671508789062,71.56903076171875,52.50327682495117,132.78387451171875,306.0434875488281,33.79313278198242,22.479276657104492,10.183947563171387,68.1500015258789
2021-10-08,9.276896476745605,107.18738555908203,105.79133605957031,30.685062408447266,3324.649169921875,49.79256057739258,42.262508392333984,13.141156196594238,163.83404541015625,19.086877822875977,77.70614624023438,42.926727294921875,149.14674377441406,8.233190536499023,22.92115592956543,77.67276763916016,556.8043212890625,584.0189819335938,28.469242095947266,27.16765022277832,336.274169921875,7.226274013519287,48.14778518676758,174.59933471679688,1170.8685302734375,28.642288208007812,111.03929901123047,71.84174346923828,53.42203903198242,130.5031280517578,303.09124755859375,34.311553955078125,21.956893920898438,10.26757526397705,67.01000213623047
2021-10-11,9.26388168334961,106.4640884399414,106.35196685791016,30.1844425201416,3349.166015625,49.56499481201172,42.50718688964844,12.759954452514648,162.76535034179688,19.11449432373047,78.01570892333984,42.667842864990234,145.7748565673828,8.213313102722168,22.9901123046875,78.02156829833984,563.3759155273438,587.7406005859375,27.925445556640625,27.16765022277832,334.53448486328125,7.226274013519287,48.35101318359375,174.90884399414062,1183.9052734375,29.61236572265625,111.63731384277344,72.18263244628906,53.53799819946289,128.61178588867188,300.7653503417969,35.00016784667969,22.277067184448242,10.26757526397705,66.47000122070312
2021-10-12,9.142406463623047,106.4487075805664,105.81002044677734,29.988121032714844,3317.2197265625,49.45996856689453,42.40338134765625,12.591899871826172,163.1835479736328,18.964576721191406,77.00105285644531,42.75576400756836,145.2645263671875,8.200535774230957,22.94955062866211,76.77322387695312,563.7310180664062,589.7877197265625,27.978757858276367,27.16765022277832,334.20538330078125,7.217861175537109,48.01230239868164,174.86459350585938,1192.1131591796875,29.853748321533203,108.70507049560547,71.16848754882812,53.19903564453125,129.07533264160156,300.3180236816406,34.588592529296875,22.51297950744629,10.31403636932373,65.83000183105469
2021-10-13,9.07443904876709,108.0799789428711,104.96907043457031,30.321866989135742,3408.60107421875,50.09014129638672,41.78798294067383,12.485328674316406,169.78150939941406,18.54638671875,76.66571044921875,44.24559783935547,146.64974975585938,8.254487037658691,22.67778968811035,75.57994842529297,572.1675415039062,608.395751953125,27.91478157043457,27.16765022277832,340.78790283203125,7.191856384277344,48.19859313964844,175.79310607910156,1224.4630126953125,29.30722427368164,108.74365234375,71.18553161621094,53.64503860473633,130.33624267578125,307.0275573730469,34.252201080322266,22.715190887451172,10.22111701965332,67.13999938964844
2021-10-14,9.101914405822754,109.61892700195312,105.9221420288086,30.58690071105957,3429.4033203125,50.86910629272461,41.98817443847656,12.575504302978516,173.8704071044922,18.70025062561035,76.92366790771484,44.79267883300781,146.5768280029297,8.194856643676758,22.94955062866211,76.71815490722656,587.9747314453125,620.770263671875,28.128036499023438,27.16765022277832,347.88763427734375,7.246925354003906,49.51956558227539,175.57200622558594,1241.3623046875,29.234357833862305,109.88182830810547,71.69686889648438,54.77788162231445,133.65538024902344,314.36328125,34.66773986816406,22.73204231262207,10.22111701965332,68.36000061035156
