ticker,mu_ann,sigma_ann,sharpe_ann,beta_ewm,mdd_window,skew,kurt,cluster_spectral
MT.PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
OR.PA,-2.9437296147492496e-17,2.7965431340117875e-16,2.9437296147492496e-17,-3.6796620184365625e-17,-8.83118884424775e-17,-3.6796620184365625e-17,1.4718648073746248e-17,0
ORA.PA,-2.9437296147492496e-17,1.471864807374625e-16,5.887459229498499e-17,1.1774918458996998e-16,-1.4718648073746248e-17,-7.359324036873124e-18,6.991357835029469e-17,0
PUB.PA,4.415594422123875e-17,6.181832190973425e-16,-1.4718648073746248e-17,-2.2077972110619375e-16,7.359324036873125e-17,1.4718648073746248e-17,5.887459229498499e-17,0
RI.PA,0.0,1.1774918458996998e-16,0.0,-2.0606107303244748e-16,-1.1774918458996998e-16,-1.1038986055309687e-17,3.679662018436562e-18,0
RMS.PA,-4.415594422123875e-17,4.1212214606489496e-16,-1.471864807374625e-16,7.359324036873125e-17,5.887459229498499e-17,-5.887459229498499e-17,-0.0014834622796531295,0
RNO.PA,-2.9437296147492496e-17,-3.311695816592906e-16,0.0,2.3549836917993997e-16,-5.151526825811187e-17,5.887459229498499e-17,-0.00582906906310675,1
SAF.PA,0.0027864283468389825,-0.0006432422197689385,4.415594422123875e-17,8.83118884424775e-17,0.00045413137499200623,0.0,-0.0027259887664847146,0
SAN.PA,-2.2077972110619374e-17,5.887459229498499e-17,-7.359324036873125e-17,-2.94372961474925e-16,-3.3852890569616373e-16,-2.9437296147492496e-17,-0.009337867779824044,1
SGO.PA,5.890913304033333e-05,-2.9437296147492496e-17,-2.2077972110619374e-17,-3.5324755376991e-16,4.415594422123875e-17,0.002039934942147282,-0.005422071845486807,1
SU.PA,7.359324036873125e-17,4.709967383598799e-16,9.567121247935062e-17,-5.887459229498499e-17,-1.3246783266371625e-16,7.359324036873124e-18,-0.003288310620564272,0
TEP.PA,5.887459229498499e-17,-2.9437296147492496e-17,0.0,-1.76623776884955e-16,-2.3549836917993997e-16,-2.9437296147492496e-17,5.887459229498499e-17,0
TTE.PA,0.003145350282670745,0.0,2.0238141101401093e-17,3.5324755376991e-16,0.0028232089677602233,0.0029732109659521963,-0.014866295655797184,1
VIE.PA,-4.415594422123875e-17,2.649356653274325e-16,7.359324036873125e-17,-2.9437296147492496e-17,7.359324036873125e-17,8.83118884424775e-17,-0.000186787574273132,0
VIV.PA,0.01030692434611493,-0.015254689622783745,-2.9437296147492496e-17,0.0018404604863610748,0.0007264197068344446,-7.359324036873124e-18,2.9437296147492496e-17,0
WLN.PA,0.00010305092498073247,-8.83118884424775e-17,0.0,1.471864807374625e-16,-2.3549836917993997e-16,2.9437296147492496e-17,-0.00022853952924367903,0
